,index,code_commune,commune,dep
512,14507,02124,Brissy-Hamégicourt,02
513,14528,02125,Brumetz,02
514,14535,02126,Brunehamel,02
515,14548,02127,Bruyères-sur-Fère,02
516,14557,02128,Bruyères-et-Montbérault,02
517,14592,02130,Bucilly,02
518,14600,02131,Bucy-le-Long,02
519,14632,02132,Bucy-lès-Cerny,02
520,14642,02133,Bucy-lès-Pierrepont,02
521,14655,02134,Buire,02
522,14674,02135,Buironfosse,02
523,14695,02136,Burelles,02
524,14700,02137,Bussiares,02
525,14710,02138,Buzancy,02
526,14724,02139,Caillouël-Crépigny,02
527,14742,02140,Camelin,02
528,14766,02141,La Capelle,02
529,14793,02142,Castres,02
530,14811,02143,Le Catelet,02
531,14823,02144,Caulaincourt,02
532,14835,02145,Caumont,02
533,14855,02146,Celles-lès-Condé,02
534,14861,02148,Celles-sur-Aisne,02
535,14874,02149,Cerizy,02
536,14881,02150,Cerny-en-Laonnois,02
537,14885,02151,Cerny-lès-Bucy,02
538,14893,02152,Cerseuil,02
539,14897,02153,Cessières-Suzy,02
540,14934,02154,Chacrise,02
541,14949,02155,Chaillevois,02
542,14959,02156,Chalandry,02
543,14972,02157,Chambry,02
544,14997,02158,Chamouille,02
545,15012,02159,Champs,02
546,15028,02160,Chaourse,02
547,15042,02162,La Chapelle-sur-Chézy,02
548,15066,02163,Charly-sur-Marne,02
549,15104,02164,Le Charmel,02
550,15116,02165,Charmes,02
551,15152,02166,Chartèves,02
552,15175,02167,Chassemy,02
553,15197,02168,Château-Thierry,02
554,15278,02169,Châtillon-lès-Sons,02
555,15285,02170,Châtillon-sur-Oise,02
556,15296,02171,Chaudardes,02
557,15304,02172,Chaudun,02
558,15315,02173,Chauny,02
559,15388,02174,Chavignon,02
560,15415,02175,Chavigny,02
561,15424,02176,Chavonne,02
562,15435,02177,Chérêt,02
563,15446,02178,Chermizy-Ailles,02
564,15457,02179,Chéry-Chartreuve,02
565,15472,02180,Chéry-lès-Pouilly,02
566,15497,02181,Chéry-lès-Rozoy,02
567,15501,02182,Chevennes,02
568,15502,02183,Chevregny,02
569,15512,02184,Chevresis-Monceau,02
570,15525,02185,Chézy-en-Orxois,02
571,15546,02186,Chézy-sur-Marne,02
572,15579,02187,Chierry,02
573,15611,02188,Chigny,02
574,15618,02189,Chivres-en-Laonnois,02
575,15633,02190,Chivres-Val,02
576,15655,02191,Chivy-lès-Étouvelles,02
577,15676,02192,Chouy,02
578,15691,02193,Cierges,02
579,15695,02194,Cilly,02
580,15701,02195,Ciry-Salsogne,02
581,15732,02196,Clacy-et-Thierret,02
582,15746,02197,Clairfontaine,02
583,15766,02198,Clamecy,02
584,15787,02199,Clastres,02
585,15805,02200,Clermont-les-Fermes,02
586,15809,02201,Cœuvres-et-Valsery,02
587,15828,02203,Coincy,02
588,15857,02204,Coingt,02
589,15861,02205,Colligis-Crandelain,02
590,15876,02206,Colonfay,02
591,15877,02207,Commenchon,02
592,15890,02208,Concevreux,02
593,15907,02209,Condé-en-Brie,02
594,15921,02210,Condé-sur-Aisne,02
595,15936,02211,Condé-sur-Suippe,02
596,15955,02212,Condren,02
597,15978,02213,Connigis,02
598,15993,02214,Contescourt,02
599,15997,02215,Corbeny,02
600,16017,02216,Corcy,02
601,16036,02217,Coucy-le-Château-Auffrique,02
602,16058,02218,Coucy-lès-Eppes,02
603,16081,02219,Coucy-la-Ville,02
604,16097,02220,Coulonges-Cohan,02
605,16110,02221,Coupru,02
606,16117,02222,Courbes,02
607,16120,02223,Courboin,02
608,16135,02224,Courcelles-sur-Vesle,02
609,16142,02225,Courchamps,02
610,16148,02226,Courmelles,02
611,16184,02227,Courmont,02
612,16188,02228,Courtemont-Varennes,02
613,16198,02229,Courtrizy-et-Fussigny,02
614,16205,02230,Couvrelles,02
615,16212,02231,Couvron-et-Aumencourt,02
616,16236,02232,Coyolles,02
617,16247,02233,Cramaille,02
618,16250,02234,Craonne,02
619,16260,02235,Craonnelle,02
620,16266,02236,Crécy-au-Mont,02
621,16281,02237,Crécy-sur-Serre,02
622,16303,02238,Crépy,02
623,16335,02239,Crézancy,02
624,16362,02240,Croix-Fonsomme,02
625,16375,02241,La Croix-sur-Ourcq,02
626,16380,02242,Crouttes-sur-Marne,02
627,16402,02243,Crouy,02
628,16441,02244,Crupilly,02
629,16445,02245,Cuffies,02
630,16482,02246,Cugny,02
631,16510,02248,Cuirieux,02
632,16516,02249,Cuiry-Housse,02
633,16524,02250,Cuiry-lès-Chaudardes,02
634,16529,02251,Cuiry-lès-Iviers,02
635,16531,02252,Cuissy-et-Geny,02
636,16533,02253,Cuisy-en-Almont,02
637,16552,02254,Cutry,02
638,16567,02255,Cys-la-Commune,02
639,16571,02256,Dagny-Lambercy,02
640,16578,02257,Dallon,02
641,16598,02258,Dammard,02
642,16612,02259,Dampleux,02
643,16634,02260,Danizy,02
644,16655,02261,Dercy,02
645,16668,02262,Deuillet,02
646,16684,02263,Dhuizel,02
647,16690,02264,Dizy-le-Gros,02
648,16705,02265,Dohis,02
649,16709,02266,Dolignon,02
650,16711,02267,Dommiers,02
651,16726,02268,Domptin,02
652,16750,02269,Dorengt,02
653,16757,02270,Douchy,02
654,16770,02271,Dravegny,02
655,16775,02272,Droizy,02
656,16780,02273,Dury,02
657,16791,02274,Ébouleau,02
658,16803,02275,Effry,02
659,16813,02276,Englancourt,02
660,16822,02277,Épagny,02
661,16836,02278,Éparcy,02
662,16838,02279,Épaux-Bézu,02
663,16863,02280,Épieds,02
664,16878,02281,L'Épine-aux-Bois,02
665,16884,02282,Eppes,02
666,16897,02283,Erlon,02
667,16913,02284,Erloy,02
668,16917,02286,Esquéhéries,02
669,16934,02287,Essigny-le-Grand,02
670,16973,02288,Essigny-le-Petit,02
671,16995,02289,Essises,02
672,17009,02290,Essômes-sur-Marne,02
673,17052,02291,Estrées,02
674,17066,02292,Étampes-sur-Marne,02
675,17099,02293,Étaves-et-Bocquiaux,02
676,17120,02294,Étouvelles,02
677,17135,02295,Étréaupont,02
678,17147,02296,Étreillers,02
679,17177,02297,Étrépilly,02
680,17186,02298,Étreux,02
